name,price,brand,codigo de barra
 HOMBRERA NEOPRENE FUREY IZQUIERDA TALLE 2 ,6074.6,FUREY,
 HOMBRERA NEOPRENE FUREY IZQUIERDA TALLE 1 ,6074.6,FUREY,
 HOMBRERA NEOPRENE FUREY DERECHO TALLE 3 ,6074.6,FUREY,
 HOMBRERA NEOPRENE FUREY DERECHO TALLE 2 ,6074.6,FUREY,
 HOMBRERA NEOPRENE FUREY DERECHO TALLE 1 ,6074.6,FUREY,
 BALANZA ELECTRONICA GRANDE (HASTA 150 KGS.) BE203 ,5997.05,SILFAB,
 BALANZA ELEC. ULTRA SLIM (HASTA 150 KGS.) BE211 ,5997.05,SILFAB,
 ELEVADOR PARA INODORO PLASTICO ,5908.97,Sin Marca,
 OXIMETRO DE PULSO CONTEC CON CURVA CMS50D ,5277,CONTEC,
 BALANZA ELECTRONICA DE COCINA CON RECIPIENTE BC301 ,5733.23,SILFAB,
 MEDIA DESCANSO HOMBRE CORTA 280 DENIER BETALATEX TALLE 5 AZUL ,5643.27,BETALATEX,
 MEDIA DESCANSO HOMBRE CORTA 280 DENIER BETALATEX TALLE 4 NEGRO ,5643.27,BETALATEX,
 MEDIA DESCANSO HOMBRE CORTA 280 DENIER BETALATEX TALLE 3 NEGRO ,5643.27,BETALATEX,
 TENSIOMETRO DIGITAL EUROMIX AUTOMATICO DE MUÑECA YKBPW4 ,5597,EUROMIX,
 SECADOR PELO SILFAB CURVE BY527 ,5586.79,SILFAB,
" GASA EN PIEZA x 1,800 kg DAGASA ",5543,DAGASA,
 EXHIBIDOR ORGANICS - APTO VEGANOS (CONSULTAR PRECIO) ,5535.12,,
 TULIPAN PRESERVATIVOS EXHIBIDOR 24+2 CAJAS x 3 u. ,5485.63,TULIPAN,
 PINZA DEPILAR XZN CODIGO 420 ACERO MACIZA x 12 u ,5473.16,XZN,
 BASTON CUADRUPLE EN HIERRO MANGO DE ALUMINIO REGULABLE HY7400L ,5316.11,SILFAB,
 EXHIBIDOR DERMOGREEN ,5278.68,,
 ESMALTES PASTELES CAJA x 20 u. ,5265.65,MOON FLOWER,
 ESMALTES NACARADOS Y  CREMOSOS caja x 20 u. ,5265.65,MOON FLOWER,
 EAU DE PARFUM LAS OREIROS RED LIPS x 100 ml ,5237.99,LAS OREIROS,
 EAU DE PARFUM LAS OREIROS DOLCE VITA x 100 ml ,5237.99,LAS OREIROS,
 OXIMETRO DE PULSO CONTEC CMS50DL ,4672,CONTEC,
 TULIPAN VIBRADOR (203) ,5057.62,TULIPAN,
" BALANZA MECANICA DE BAÑO, HASTA 130 kg ",5008.95,SILFAB,
 BALANZA MECANICA DE BAÑO ,5008.95,SILFAB,
 BALANZA ELECTRONICA DE COCINA BC305 ,5008.95,SILFAB,
 BASTON TRIPODE DE ALUMINIO (SILFAB HY7300L) ,4974.65,SILFAB,
 RODILLERA NEOPRENE FUREY ARTICULADA TALLE 4 ,4957.19,FUREY,
 RODILLERA NEOPRENE FUREY ARTICULADA TALLE 2 ,4957.19,FUREY,
 RODILLERA NEOPRENE FUREY ARTICULADA TALLE 1 ,4957.19,FUREY,
 MAC SET MANGO MEN RED LEGEND + SHAMPOO ,4910.61,MAC GREGOR,
 MAC SET MANGO MEN BLUE ATTRACTION + SHAMPOO ,4910.61,MAC GREGOR,
 TERMOMETRO INFRARROJO FRENTE CORONET BK8005 ,4830,CORONET,
 FAJA ABDOMINAL  FUREY SACRO LUMBAR BALLENADA  TALLE 2 ,4819.55,FUREY,
 FAJA ABDOMINAL  FUREY SACRO LUMBAR BALLENADA  TALLE 1 ,4819.55,FUREY,
 FAJA ABDOMINAL  FUREY SACRO LUMBAR BALLENADA  T5 ,4819.55,FUREY,
 FAJA ABDOMINAL  FUREY SACRO LUMBAR BALLENADA  T4 ,4819.55,FUREY,
 FAJA ABDOMINAL  FUREY SACRO LUMBAR BALLENADA  T3 ,4819.55,FUREY,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 1 BEIGE ,4540.55,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 5 BEIGE ,4540.54,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 4 BEIGE ,4540.54,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 3 TOSTADO ,4540.54,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 3 BEIGE ,4540.54,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 2 TOSTADO ,4540.54,BETALATEX,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 2 BEIGE ,4540.54,BETALATEX,
 NEO FAJA FUREY BALLENADA ABDOMINAL TALLE 4 ,4490.63,FUREY,
 NEO FAJA FUREY BALLENADA ABDOMINAL TALLE 2 ,4490.63,FUREY,
 NEO FAJA FUREY BALLENADA ABDOMINAL TALLE 1 ,4490.63,FUREY,
 CALZA TERMICA MUJER FUREY NEGRO TALLE 4 ,4309.84,FUREY,
 CALZA TERMICA MUJER FUREY NEGRO TALLE 3 ,4309.84,FUREY,
 CALZA TERMICA MUJER FUREY NEGRO TALLE 2 ,4309.84,FUREY,
 CALZA TERMICA MUJER FUREY NEGRO TALLE 1 ,4309.84,FUREY,
 TENSIOMETRO CON ESTETOSCOPIO FUREY SUPERIOR AZUL ,4174,FUREY,
 CORTA CUTICULAS x 12 u ,4169.92,XZN,
 CALZA TERMICA HOMBRE FUREY NEGRO TALLE 4 ,4075.39,FUREY,
 CALZA TERMICA HOMBRE FUREY NEGRO TALLE 3 ,4075.39,FUREY,
 CALZA TERMICA HOMBRE FUREY NEGRO TALLE 2 ,4075.39,FUREY,
 CALZA TERMICA HOMBRE FUREY NEGRO TALLE 1 ,4075.39,FUREY,
 RODILLERA NEOPRENE FUREY BALLENADA TALLE 5 ,4070.73,FUREY,
 RODILLERA NEOPRENE FUREY BALLENADA TALLE 4 ,4070.73,FUREY,
 RODILLERA NEOPRENE FUREY BALLENADA TALLE 3 ,4070.73,FUREY,
 RODILLERA NEOPRENE FUREY BALLENADA TALLE 2 ,4070.73,FUREY,
 RODILLERA NEOPRENE FUREY BALLENADA TALLE 1 ,4070.73,FUREY,
 PLANTILLA SOFEET MUJER  SPORT    35 AL 41 ,4061.07,SOFEET,
 PLANTILLA SOFEET HOMBRE SPORT    39 AL 47 ,4061.07,SOFEET,
 MANGO EAU DE PARFUM RED LEGEND MEN x 100 ml. ,4059.44,MANGO,
 PINZA DEPILAR XZN CODIGO 440 NEGRA x 12 u ,4021.81,XZN,
 CINTA PORTA CHUPETE ROSA GRANEL x 100 unid. ,4000,Sin Marca,
 CINTA PORTA CHUPETE CELESTE GRANEL x 100 unid. ,4000,Sin Marca,
 CINTA PORTA CHUPETE BLANCO GRANEL x 100 unid. ,4000,Sin Marca,
 TENSIOMETRO ANEROIDE SIN ESTETOSCOPIO ESTANDAR CON MANGA CORONET  XL HS50C ,3912.31,CORONET,
 MAC GREGOR SET UNIFORM MEN LEXINGTON x 100ml + NAIPES ,3863.02,MAC GREGOR,
 MAC GREGOR SET UNIFORM MEN BROOKLING x 100ml + NAIPES ,3863.02,MAC GREGOR,
 PLANTILLA SOFEET MUJER  COMFORT  35 AL 40 ,3861.94,SOFEET,
 PLANTILLA SOFEET HOMBRE COMFORT  41 AL 46 ,3861.94,SOFEET,
 RUEDAS PARA ANDADOR DE ALUMINIO SILFAB x 2 u.(A1038) ,3835.37,SILFAB,
 REMERA TERMICA MUJER NEGRA FUREY TALLE MEDIUM ,3821.12,FUREY,
 REMERA TERMICA MUJER NEGRA FUREY TALLE LARGE ,3821.12,FUREY,
 REMERA TERMICA HOMBRE NEGRA FUREY TALLE SMALL ,3821.12,FUREY,
 REMERA TERMICA HOMBRE NEGRA FUREY TALLE MEDIUM ,3821.12,FUREY,
 REMERA TERMICA HOMBRE NEGRA FUREY TALLE LARGE ,3821.12,FUREY,
 REMERA TERMICA HOMBRE NEGRA FUREY TALLE EXTRA LARGE ,3821.12,FUREY,
 BASTON CANADIENSE x unid. HY7600L ,3814.33,SILFAB,
 BOTIQUIN FUREY PRIMEROS AUXILIOS GRANDE ,3811.55,FUREY,
 MAC GREGOR EAU DE PARFUM STRONGER x 100 ml ,3732.07,MAC GREGOR,
 MAC GREGOR EAU DE PARFUM LOVELY x 100 ml ,3732.07,MAC GREGOR,
 MAC GREGOR EAU DE PARFUM LOVELY PURE x 100 ml ,3732.07,MAC GREGOR,
 MAC GREGOR EAU DE PARFUM BINARY x 100 ml ,3732.07,MAC GREGOR,
 TULIPAN PRESERVATIVOS CLASICO DISPLAY 16 CAJAS x 3 u. ,3657.23,TULIPAN,
 MAS SET DE REGALO N. 3  30 ,3646.51,MAS,
 CHAPOTEANDO SACALECHE MANUAL PREMIUM UNISEX ,3550,CHAPOTEANDO,
 CHAPOTEANDO SACALECHE MANUAL PREMIUM ROSA ,3550,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE  Nº 20 UNISEX ,3534.2,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE  Nº 20 ROSA ,3534.19,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE  Nº 20 CELESTE ,3534.19,CHAPOTEANDO,
 FAJA DE TRABAJO FUREY (LUMBAR) TALLE 5 ,3514.36,FUREY,
 FAJA DE TRABAJO FUREY (LUMBAR) TALLE 4 ,3514.36,FUREY,
 FAJA DE TRABAJO FUREY (LUMBAR) TALLE 3 ,3514.36,FUREY,
 FAJA DE TRABAJO FUREY (LUMBAR) TALLE 2 ,3514.36,FUREY,
 FAJA DE TRABAJO FUREY (LUMBAR) TALLE 1 ,3514.36,FUREY,
 BASTON DE MADERA HY7204L ,3512.78,SILFAB,
 CALZA FITNESS PESCADORA MUJER FUREY TALLE 4 ,3440.87,FUREY,
 CALZA FITNESS PESCADORA MUJER FUREY TALLE 3 ,3440.87,FUREY,
 CALZA FITNESS PESCADORA MUJER FUREY TALLE 2 ,3440.87,FUREY,
 CALZA FITNESS PESCADORA MUJER FUREY TALLE 1 ,3440.87,FUREY,
 TENSIOMETRO INFANTIL CORONET SIN ESTETOSCOPIO HS20C ,3435.97,CORONET,
 OXIDO DE ZINC TABLADA SOBRE 10gr. x 25u ,3432.32,TABLADA,
 VASELINA SOLIDA POTE x kg TABLADA ,3340,TABLADA,
 CHAPOTEANDO VACIA BANDEJA MADERA ,3318,CHAPOTEANDO,
 SET DE BAÑO JUSTICE LEAGUE 45814 ,3281.82,DISNEY,
 ESTETOSCOPIO DOBLE PROFESIONAL PEDIATRICO CORONET HS30H ,3281.08,CORONET,
" MONTREAL MANTECA CACAO PROTEC LABIAL DE 4,5 grs. x 20 u. ",3240,MONTREAL,
 CHAPOTEANDO ESTUCHE  Nº 21 B ,3217.92,CHAPOTEANDO,
 FAJA        NEOPRENE FUREY ABDOMINAL REGULABLE TALLE 5 ,3200.59,FUREY,
 FAJA        NEOPRENE FUREY ABDOMINAL REGULABLE TALLE 4 ,3200.59,FUREY,
 FAJA        NEOPRENE FUREY ABDOMINAL REGULABLE TALLE 3 ,3200.59,FUREY,
 FAJA        NEOPRENE FUREY ABDOMINAL REGULABLE TALLE 2 ,3200.59,FUREY,
 FAJA        NEOPRENE FUREY ABDOMINAL REGULABLE TALLE 1 ,3200.59,FUREY,
 UNIFORM EAU DE PARFUM BROOKLING ST MEN x 100 ml. ,3168.98,UNIFORM,
 UNIFORM EAU DE PARFUM BROADWAY ST WOMAN x 100 ml. ,3168.98,UNIFORM,
 ALFA SET REGALO CARBON ACTIVADO - APTO VEGANOS ,3114.57,ALFA 3,
 TOBILLERA NEOPRENE FUREY BALLENADA TALLE 2 ,3090.95,FUREY,
 TOBILLERA NEOPRENE FUREY BALLENADA TALLE 1 ,3090.95,FUREY,
 TENSIOMETRO CON ESTETOSCOPIO CORONET ESTANDAR HS50A ,3087,CORONET,
 GASA EN PIEZA X 1 KGR INSUMOS DAGASA ,3080,DAGASA,
" TELA ADHESIVA.Nº6 x 12 r FUREY 2,5 cmx4m ",2963,FUREY,
 MEDIA DESCANSO DAMA CORTA 70 DENIER BETALATEX TALLE 1 TOSTADO ,2951.35,BETALATEX,
 TERMOMETRO INFRARROJO DIGITAL JOYTECH ,2930,JOYTECH,
 MAS SET DE MANICURA  290 ,2922.25,MAS,
 JESSAMY CORTA UÑAS GRANDE CAJA x 12 unid. C1778 ,2920.2,JESSAMY,
 JESSAMY CORTA UÑAS CHICO CAJA x 24 unid. C1777 ,2920.2,JESSAMY,
 TALONERA  SOFEET MUJER POINT PUNTO AZUL 35 AL 41 ,2920.08,SOFEET,
 TALONERA  SOFEET HOMBRE POINT AZUL 39 AL 47 ,2920.08,SOFEET,
 CALZA FITNESS HOMBRE FUREY TALLE 4 ,2914.83,FUREY,
 CALZA FITNESS HOMBRE FUREY TALLE 3 ,2914.83,FUREY,
 CALZA FITNESS HOMBRE FUREY TALLE 2 ,2914.83,FUREY,
 CALZA FITNESS HOMBRE FUREY TALLE 1 ,2914.83,FUREY,
 SET DE REGALO Nº 7 MILLON ,2889.16,Sin Marca,
" RODILLERA ""ACTIVA GENUSAN"" ELASTICA TALLE 7 ",2827.12,GENUSAN,
 TOBILLERA NEOPRENE FUREY INMOBILIZADOR TALLE 4 ,2787.69,FUREY,
 TOBILLERA NEOPRENE FUREY INMOBILIZADOR TALLE 2 ,2787.69,FUREY,
 TOBILLERA NEOPRENE FUREY INMOBILIZADOR TALLE 1 ,2787.69,FUREY,
 ALGABO CAJA x 12 unid JABON LIQUIDO REPUESTO DOY PACK ANTIBACTERIAL x 300 ml ,2757.75,ALGABO,
 TULIPAN PRESERVATIVOS SURTIDOS CONTENEDORA 12 CAJAS x 3 u. ,2742.92,TULIPAN,
" TELA FUREY MACROPOROSA PLASTICA (MOD 2) 1,25cm ",2740,FUREY,
 DISNEY PERFUME INFANTIL EN LATA x 50 ml AURORA 1042 ,2734.63,DISNEY,
 TULIPAN BOLAS CHINAS (210) ,2703.21,TULIPAN,
 BASTON DE ALUMINIO HY7200L ,2698.6,SILFAB,
 AZUFRE EN BARRA FUREY CAJA x 20 packs x 5 u. c/u ,2690,FUREY,
 RODILLERA ACTIVA GENUSAN ELASTICA TALLE 6 ,2649.97,GENUSAN,
 SET DE REGALO Nº 6 212 M ,2617.87,Sin Marca,
 CHAPOTEANDO ESTUCHE Nº 10 UNISEX ,2605.13,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE Nº 10 ROSA ,2605.13,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE Nº 10 CELESTE ,2605.13,CHAPOTEANDO,
 VASELINA SOLIDA SANADROG POTE x Kilogramo ,2598,SANADROG,
 VASELINA SOLIDA POTE x kg DROGAL ,2598,DROGAL,
 TALONERA  SOFEET MUJER COMFORT PLUS 35 AL 41 ,2587.22,SOFEET,
 TALONERA  SOFEET HOMBRE COMFORT PLUS 39 AL 47 ,2587.22,SOFEET,
" TELA ADHESIVA OXIDO ZINC FUREY N°6 x 12 r 2,5cmx4m (MOD 2) ",2586,FUREY,
 TELA FUREY MACROPOROSA PLASTICA (MOD 2) 5cm ,2560,FUREY,
" TELA FUREY MACROPOROSA PLASTICA (MOD 2) 2,5cm ",2560,FUREY,
 VENDA CAMBRIC FUREY (Mod 2) 10 cm. x 24 u ,2550,FUREY,
 ALGABO ALCOHOL EN GEL ULTRA x  75 ml CAJA x 12 unid: ,2537.81,ALGABO,
" TELA FUREY MICROPOROSA  C/CARRET (MOD 2) 1,25cm ",2534,FUREY,
 TELA ADHESIVA OXIDO ZINC FUREY N°7 x 6 unidades 5cmx4m (MOD 2) ,2510,FUREY,
" TELA ADHESIVA OXIDO ZINC FUREY N°5 x 24 r 1,25cmx4m (MOD 2) ",2485,FUREY,
 CHAPOTEANDO ESTUCHE Nº 9 F ,2474.92,CHAPOTEANDO,
 O2+ SET MANICURA FUCSIA (8 PIEZAS) (0188) ,2434.12,O2+,
 GASA CAJA EXPENDEDORA x 100 SOBRES 10x10 ,2420.1,FUREY,
 ACIDO BORICO FUREY SOBRE DE 20gr. x 25UNIDADES ,2412.1,FUREY,
 LENOX TALONERA DESCARGA VARIABLE PARA ESPOLON MEDIANO 37 AL 39  8301 ,2410.31,LENOX,
 LENOX TALONERA DESCARGA VARIABLE PARA ESPOLON GRANDE 40 AL 42   8302 ,2410.31,LENOX,
 LENOX TALONERA DESCARGA VARIABLE PARA ESPOLON EXTRA GRANDE 43 AL 46   8303 ,2410.31,LENOX,
 LENOX TALONERA DESCARGA VARIABLE PARA ESPOLON CHICO 33 AL 36  8300 ,2410.31,LENOX,
 REPUESTO NEBULIZADOR ULTRASONICO MICRON TAPA CUBRE PILETA ,2400,REPUESTO SERVICE,
 EUDAPLEN COLAGENO HIDROLIZADO BEAUTY x 250 g. ,2390.31,EUDAPLEN,
 COLLAR DE FILADELFIA COLTEX PEDIATRICO ,2366.07,COLTEX,
 COLLAR DE FILADELFIA COLTEX MEDIANO ,2366.07,COLTEX,
 COLLAR DE FILADELFIA COLTEX GRANDE ,2366.07,COLTEX,
 COLLAR DE FILADELFIA COLTEX EXTRA GRANDE ,2366.07,COLTEX,
 COLLAR DE FILADELFIA COLTEX CHICO ,2366.07,COLTEX,
 TALONERA  SOFEET MUJER COMFORT 35 AL 41 ,2350.3,SOFEET,
 TALONERA  SOFEET HOMBRE COMFORT 39 AL 47 ,2350.3,SOFEET,
" TELA FUREY MICROPOROSA  C/CARRET (MOD 2) 2,5cm ",2332,FUREY,
" DISNEY 3 EN 1 SHAMPOO, ACONDICIONADOR Y BODY WASH MICKEY x 400 ml. 42790 ",2324.23,DISNEY,
 PLANTILLA SOFEET MUJER PARA CHATITA ,2318.33,SOFEET,
 EUDAPLEN COLAGENO HIDROLIZADO FLEX x 250 g. ,2294.61,EUDAPLEN,
" TELA ADHESIVA.Nº3 x 24 r FUREY 1,25cmx2m ",2280,FUREY,
 RODILLERA NEOPRENE FUREY SOSTEN ROTULA Y VELCRO TALLE 3 ,2274.47,FUREY,
 RODILLERA NEOPRENE FUREY SOSTEN ROTULA Y VELCRO TALLE 2 ,2274.47,FUREY,
 RODILLERA NEOPRENE FUREY SOSTEN ROTULA Y VELCRO TALLE 1 ,2274.47,FUREY,
" TELA ADHESIVA TUBO HOSPITALARIO ADHESUR 10 cm x 4,5 mts ",2235,ADHESUR,
" TELA ADHESIVA TUBO HOSPITALARIO ADHESUR  5 cm x 4,5 mts ",2235,ADHESUR,
" TELA ADHESIVA TUBO HOSPITALARIA ADHESUR  2,5 cm x 4,5 mts ",2235,ADHESUR,
 BICARBONATO DE SODIO SOBRE FUREY 20gr. x 25u ,2194.94,FUREY,
" TELA ADHESIVA.N.6 x 12 r PRINTEX 2,5 cmx4,5m ",2180,PRINTEX,
 FERULA DIGITAL DE  25 mm x 50 cm bolsa x 5 u. ,2160.64,F.A.V.E,
 RODILLERA ACTIVA GENUSAN ELASTICA TALLE 3 ,2159.43,GENUSAN,
 LENOX TALONERA DESCARGA TRADICIONAL PARA ESPOLON MEDIANO 37 AL 39  8241 ,2158.4,LENOX,
 LENOX TALONERA DESCARGA TRADICIONAL PARA ESPOLON GRANDE 40 AL 42  8242 ,2158.4,LENOX,
 LENOX TALONERA DESCARGA TRADICIONAL PARA ESPOLON EXTRA GRANDE 43 AL 46  8243 ,2158.4,LENOX,
 LENOX TALONERA DESCARGA TRADICIONAL PARA ESPOLON CHICO 33 AL 36  8240 ,2158.4,LENOX,
 EUDAPLEN COLAGENO HIDROLIZADO 100% PURO x 250 g. ,2144.3,EUDAPLEN,
 O2+ ANTIFAZ FRIO CALOR ROSA (1208) ,2108.13,O2+,
" TELA ADHESIVA TUBO HOSPITALARIO AS 5 cm x 4,5 mts. ",2097,AS,
" TELA ADHESIVA TUBO HOSPITALARIO AS 2,5 cm x 4,5 mts ",2097,AS,
 RODILLERA ACTIVA GENUSAN ELASTICA TALLE 2 ,2093.9,GENUSAN,
 RODILLERA ACTIVA GENUSAN ELASTICA TALLE 1 ,2093.9,GENUSAN,
 ALGABO COCOA BEACH PROTECTOR SOLAR FAMILIAR F 30 x 400 ml ,2092.28,COCOA BEACH,
 LENOX TALONERA PARA DESCANSO MEDIANO 37 AL 39  8245 ,2071.3,LENOX,
 LENOX TALONERA PARA DESCANSO GRANDE 40 AL 42  8246 ,2071.3,LENOX,
 LENOX TALONERA PARA DESCANSO EXTRA GRANDE 43 AL 46  8247 ,2071.3,LENOX,
 LENOX TALONERA PARA DESCANSO CHICA 33 AL 36  8244 ,2071.3,LENOX,
 CHAPOTEANDO ESTUCHE  Nº 11 UNISEX ,2066.03,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE  Nº 11 ROSA ,2066.03,CHAPOTEANDO,
 CHAPOTEANDO ESTUCHE  Nº 11 CELESTE ,2066.03,CHAPOTEANDO,
 SABANA PLASTICA ELASTICA CUBRE COLCHON 2 PLAZAS ,2009.53,FUREY,
 CHAPOTEANDO TOALLON CON CAPUCHA PULPO ,1966.86,CHAPOTEANDO,
 CHAPOTEANDO TOALLON CON CAPUCHA PEZ CON MOÑO ,1966.86,CHAPOTEANDO,
 CHAPOTEANDO TOALLON CON CAPUCHA BALLENA ,1966.86,CHAPOTEANDO,
 O2+ ORGANIZADOR PLÁSTICO PORTA COSMETICOS (4285) ,1966.74,O2+,
 REPUESTO TENSIOMETRO ANEROIDE KIT CAMARA + MANGA NIÑO 4 A 9 AÑOS ,1932.14,REPUESTO SERVICE,
