name_df1,name_df2,price_df1,price_df2,similarity
EUDA COLAGENO HIDROLIZADO BEAUTY x 250 g., EUDAPLEN COLAGENO HIDROLIZADO BEAUTY x 250 g. ,$2.370,2390.31,95
EUDA COLAGENO HIDROLIZADO FLEX x 250 g., EUDAPLEN COLAGENO HIDROLIZADO FLEX x 250 g. ,$2.274,2294.61,95
EUDA COLAGENO HIDROLIZADO 100% PURO x 250 g., EUDAPLEN COLAGENO HIDROLIZADO 100% PURO x 250 g. ,$2.126,2144.3,95
EUDA COMPLEJO VITAMINICO B x 90 comp., EUDAPLEN COMPLEJO VITAMINICO B x 90 comp. ,$987,957.59,95
EUDA ZINC QELATO 30mg x 50 cap., EUDAPLEN ZINC QELATO 30mg x 50 cap. ,$1.086,1101.24,94
EUDA VITAMINA E 400UI x 50 cap., EUDAPLEN VITAMINA E 400UI x 50 cap. ,$1.197,1211.91,94
EUDA VITAMINA D3 2000UI x 90 comp., EUDAPLEN  VITAMINA D3 2000UI x 90 comp. ,$920,934.43,94
EUDA VITAMINA C 500mg x 50 cap., EUDAPLEN VITAMINA C 500mg x 50 cap. ,$1.030,1043.94,94
EUDA VITAMINA B12 500mcg x 90 comp., EUDAPLEN VITAMINA B12 500mcg x 90 comp. ,$978,992.88,94
EUDA BIOTINA 2000mcg x 90 comp., EUDAPLEN BIOTINA 2000mcg x 90 comp. ,$985,1000.32,94
EUDA MAGNESIO QELATO 100mg x 50 cap.,,$1.126,,
TERMOMETRO DIGITAL FUREY DT/K11B, TERMOMETRO DIGITAL FUREY DTK11B ,$649,618.0,98
PEINE FUREY (MOD.2) PIOJOS DIENTE Y MANGO METAL, PEINE FUREY PIOJOS DIENTE Y MANGO DE METAL ,$519,550.0,96
VAPORIZADOR SILFAB V12, VAPORIZADOR SILFAB V12 ,$9.382,8935.3,100
JERINGA DARLING 5 cc 40/8 x 100 u, JERINGA DARLING  10 cc CON AGUJA 40/8 x 100 ,$1.150,1612.0,94
JERINGA DARLING 20 cc S/A x u, JERINGA DARLING  20 cc SIN AGUJA x u ,$24,23.0,93
CH COLONIA x 120cc C/ VAP,,$599,,
VASELINA SOLIDA POTE x kg TABLADA, VASELINA SOLIDA POTE x kg TABLADA ,$3.507,3340.0,100
OG CEPILLO NEUMATICO CHICO (431), CEPILLO NEUMATICO CHICO OGIB 406 ,$679,1052.8,90
"TELA ADHESIVA TUBO HOSP AS 10 cm x 4,5 mts",,$2.079,,
"TELA ADHESIVA TUBO HOSP AS 2,5 cm x 4,5 mts"," TELA ADHESIVA TUBO HOSPITALARIO AS 5 cm x 4,5 mts. ",$2.079,2097.0,91
CH CAMBIADOR PEZ CON MOÑO, CHAPOTEANDO CAMBIADOR PEZ CON MOÑO ,$713,679.14,93
CH CAMBIADOR PULPO, CHAPOTEANDO CAMBIADOR PULPO ,$713,679.14,91
CH CAMBIADOR BALLENA, CHAPOTEANDO CAMBIADOR BALLENA ,$713,679.14,92
Algabo hisopos tubo 200,,$371,,
algabo quita black 100,,$179,,
kids jabon liquido dp 300,,$215,,
JMY ESCOFINA PALETA, JESSAMY ESCOFINA PALETA ,$363,431.75,90
CH ESTUCHE N.21 B, CHAPOTEANDO ESTUCHE  Nº 21 B ,$3.379,3217.92,90
CH ESTUCHE N. 9 F, CHAPOTEANDO ESTUCHE Nº 9 F ,$2.599,2474.92,90
ANDADOR ROLLATOR CON 4 RUEDAS SILFAB A3019B,,$45.437,,
MB VEGANOS MANGO Y CAFE VERDE DOYPACK x 250 gr., MARY BOSQUES VEGANOS MANGO Y CAFE VERDE DOYPACK x 250 gr. ,$424,526.51,97
MB VEGANOS MANGO Y CAFE VERDE x 20 gr., MARY BOSQUES VEGANOS MANGO Y CAFE VERDE DOYPACK x 250 gr. ,$85,526.51,91
MB VEGANOS NARANJA Y PAPAYA DOY PACK x 250 gr.,,$424,,
MB VEGANOS NARANJA Y PAPAYA x 20 gr., MARY BOSQUES VEGANOS NARANJA Y PAPAYA DOYPACK x 250 gr. ,$85,526.51,91
MB VEGANOS BANANA Y KIWI DOYPACK x 250 grs.,,$424,,
MB VEGANOS BANANA Y KIWI x 20 gr., MARY BOSQUES VEGANOS BANANA Y KIWI DOY PACK x 250 gr. ,$85,526.51,90
ACIDO BORICO DROGAL SOBRE DE 25gr. x 25u, ACIDO BORICO DROGAL SOBRE DE 25gr. x 25UNIDADES ,$1.628,1575.0,95
JAC MAQUILLAJE CORPORAL Y FACIAL ORO 738/002, JACTANS MAQUILLAJE CORPORAL Y FACIAL ORO 738/002 ,$573,683.86,96
CAJITA SONAJERO COCHECITO FANTASÍA,,$1.525,,
TOALLÓN C/CAPUCHA,,$2.541,,
PLATO TÉRMICO 3 DIVISIONES,,$1.398,,
PLATO TÉRMICO SIN DIVISIONES,,$1.065,,
ASPIRADOR NASAL ERGONÓMETRO C/ 2 PICOS,,$738,,
ASPIRADOR NASAL ERGONÓMETRO,,$684,,
BABITAS X 2 UNIDADES,,$998,,
BANDANA X 1 UNIDAD,,$635,,
BABERO TOWEL GRANDE,,$508,,
BABERO TOWEL CHICO,,$448,,
SONAJERO COLGANTE PARA CUNA/COCHECITO,,$684,,
CAJITA SONAJERO COCHECITO HIPO / PATO,,,,
CAJITA SONAJERO COCHECITO LETRAS/COLORES,,,,
SONAJERO CUNERO/COCHECITO BOLITAS FLUO,,$738,,
SONAJERO CUNERO/COCHECITO BOLITAS,,$714,,
PLATO+VASITO+ CUBIERTOS,,$599,,
VASO ANTIDERRAME c/agarradera,,$1.156,,
TAZA CON ASA,,$290,,
Ajuar Grande,,$5.445,,
Ajuar Chico,,$4.320,,
CEPILLO DENTAL TRADICIONAL Y VASO BB,,,,
CEPILLO DENTAL INFANTIL TRADICIONAL,,,,
HIPO PARCHE OCULAR ADULTO x 5 u, PARCHE OCULAR HIPOALERGIC ADULTO  x 5 u ,$256,243.76,91
HIPO PARCHE OCULAR PEDIATRICO x 5 u, PARCHE OCULAR HIPOALERGIC PEDIATRICO  x 5 u ,$209,199.09,92
HIPO APOSITO FILM 6cm x 7cm x 3 unid,,$313,,
HIPO AG+ APOSITO ANTIBACTERIAL x 30 unid., HIPOALERGIC AG+ APOSITO ANTIBACTERIAL x 30 unid. ,$410,390.5,93
HIPO APOSITO TRANSP. FILM+PAD 10x10cm x 20 unid.,,$1.778,,
HIPO APOSITO PROTECTOR OUCH! x 10 unid., APOSITO PROTECTOR OUCH! HIPOALERGIC x 10 unid. ,$95,90.35,93
MAC EAU DE PARFUM LAS OREIROS RED LIPS x 100 ml, EAU DE PARFUM LAS OREIROS RED LIPS x 100 ml ,$4.812,5237.99,100
MAC EAU DE PARFUM LAS OREIROS DOLCE VITA x 100 ml, EAU DE PARFUM LAS OREIROS DOLCE VITA x 100 ml ,$4.812,5237.99,100
"TELA ADHESIVA TUBO HOSP AS 5 cm x 4,5 mts"," TELA ADHESIVA TUBO HOSPITALARIO AS 5 cm x 4,5 mts. ",$2.079,2097.0,93
"TELA AD. PRINTEX N.5 x 24 r 1,25cmx4,5m"," TELA ADHESIVA PRINTEX N.5 x 24 r 1,25cmx4,5m ",$2.401,2450.0,96
ELECTRODO DEXAL BOLSA x 50 UNIDADES, ELECTRODO DEXAL BOLSA x 50 UNIDADES ,$1.035,986.0,100
SONDA FOLEY 2 LATEX VIAS EPIC N°24 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,95
SONDA FOLEY 2 LATEX VIAS EPIC N°22 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,95
SONDA FOLEY 2 LATEX VIAS EPIC N°20 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,100
SONDA FOLEY 2 LATEX VIAS EPIC N°14 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,95
SONDA FOLEY 2 LATEX VIAS EPIC N°18 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,95
SONDA FOLEY 2 LATEX VIAS EPIC N°16 BALON 5, SONDA FOLEY DE LATEX 2 VIAS EPIC N°20 BALON 5 ,$174,166.0,95
OG CEPILLO NEUMATICO DELFIN CHICO (200), OG CEPILLO NEUMATICO DELFIN CHICO ,$299,284.51,100
JERINGA NEOJET 3 cc S/A x 100 u, JERINGA NEOJET  3 cc SIN AGUJA  x 100 u ,$788,775.0,93
CH ESTUCHE N. 7 A AZUL, CHAPOTEANDO ESTUCHE Nº 7 A AZUL ,$1.029,980.03,92
CH ESTUCHE N. 7 A VERDE, CHAPOTEANDO ESTUCHE Nº 7 A VERDE ,$1.029,980.03,93
ALCOHOL IODADO TABLADA x 100 cc, ALCOHOL IODADO TABLADA x 100 cc. ,$403,384.22,100
LINIMENTO OLEO CALCAREO TABLADA x 250 cc, LINIMENTO OLEO CALCAREO TABLADA x 250 cc ,$328,312.52,100
AGUA OXIGENADA SANADROG 10v x 250 cc, AGUA OXIGENADA SANADROG 10v x LITRO ,$165,380.0,91
GLUCOSA PURA ORAL EN POLVO SANADROG x 75 grs., GLUCOSA PURA ORAL EN POLVO TABLADA x 75 grs. ,$260,345.26,90
TALCO MENTOLADO SANADROG x 100 gr, TALCO MENTOLADO SANADROG x 100 gr ,$311,296.0,100
GLICERINA SANADROG x 100 grs, GLICERINA SANADROG x 100 grs ,$336,320.0,100
ALCOHOL BORICADO SANADROG x 100 cc, ALCOHOL BORICADO SANADROG x 100 cc ,$174,166.0,100
TELA AD. OXIDO ZINC FUREY N°7 (MOD 2) x u.5cmx4m," TELA ADHESIVA OXIDO ZINC FUREY N°6 x 12 r 2,5cmx4m (MOD 2) ",$2.636,2586.0,90
"TELA AD. OXIDO ZINC FUREY N°6 (MOD 2) x 12 r 2,5cmx4m"," TELA ADHESIVA OXIDO ZINC FUREY N°6 x 12 r 2,5cmx4m (MOD 2) ",$2.715,2586.0,97
"TELA AD. OXIDO ZINC FUREY N°5 (MOD 2) x 24 r 1,25cmx4m"," TELA ADHESIVA OXIDO ZINC FUREY N°5 x 24 r 1,25cmx4m (MOD 2) ",$2.609,2485.0,97
JMY CEPILLO NEUMATICO OVAL METALIZADO (C651), JMY CEPILLO NEUMATICO PALETA METALIZADO (C650) ,$1.053,1703.45,91
NEBU A PISTON CORONET COMPRESOR NBB02/A50, NEBULIZADOR A PISTON CORONET COMPRESOR NBB02/A50 ,$13.413,12774.0,94
A GRANEL VENDA CAMBRIC FUREY (Mod 2) 5 cm. x 500 u, VENDA CAMBRIC FUREY (Mod 2) 10 cm. CAJA x 500 u ,$23.615,46233.0,90
LIMONADA ROGE SANADROG ADULTO x 80 gs, LIMONADA ROGE SANADROG ADULTO x 80 gs ,$404,387.0,100
VASELINA SOLIDA SANADROG POTE x Kg, VASELINA SOLIDA SANADROG POTE x Kilogramo ,$2.623,2598.0,95
VASELINA MEDICINAL SANADROG x 500 ml, VASELINA MEDICINAL SANADROG x 500 ml ,$903,860.0,100
VASELINA MEDICINAL SANADROG x 250 ml, VASELINA MEDICINAL SANADROG x 500 ml ,$500,860.0,97
VASELINA MEDICINAL SANADROG x 125 ml, VASELINA MEDICINAL SANADROG x 500 ml ,$276,860.0,94
SOLUCION FISIOLOGICA GOTERO SANADROG 100 ml, SOLUCION FISIOLOGICA GOTERO SANADROG 100 ml ,$99,94.0,100
VASELINA SOLIDA SANADROG POTE x 60 grs, VASELINA SOLIDA SANADROG POTE x Kilogramo ,$239,2598.0,90
SULFATIAZOL TALQUERA SANADROG x 5 grs,,$501,,
AGUA OXIGENADA SANADROG 10v x LITRO, AGUA OXIGENADA SANADROG 10v x LITRO ,$365,380.0,100
AGUA OXIGENADA SANADROG 10v x 500 cc, AGUA OXIGENADA SANADROG 10v x LITRO ,$260,380.0,91
AGUA OXIGENADA SANADROG 10v GOTERO x 100 cc, AGUA OXIGENADA SANADROG 10v x LITRO ,$88,380.0,91
ES REPELENTE DE INSECTOS X 60 G (CREMA),,$102,,
SULFATO DE MAGNESIO TABLADA SOBRE 30 g x 25 u, SULFATO DE MAGNESIO TABLADA SOBRE 30 g x 25 u ,$1.805,1718.75,100
ESPONJA MASAJE POM POM TELA TEJIDA LP ART.1001, ESPONJA MASAJE POM POM TELA TEJIDA LP ART.1000 ,$185,176.0,98
AGUA PURIFICADA DESMINERALIZADA TABLADA x litro, AGUA PURIFICADA DESMINERALIZADA TABLADA x litro ,$233,221.83,100
CLORURO DE MAGNESIO DROGAL 33gr.BOLSAx12 SOBRES,,$966,,
JERINGA DARLING 10 cc 40/8 x 100, JERINGA DARLING  10 cc CON AGUJA 40/8 x 100 ,$1.693,1612.0,100
BOTIQUIN FUREY GRANDE, BOTIQUIN FUREY PRIMEROS AUXILIOS GRANDE ,$4.002,3811.55,100
BOTIQUIN FUREY CHICO, BOTIQUIN FUREY PRIMEROS AUXILIOS CHICO ,$1.322,1258.8,100
BICARBONATO DE SODIO SOBRE DROGAL 25gr.x 25u, BICARBONATO DE SODIO SOBRE SANADROG x 25gr. x 25u ,$1.570,1800.0,93
O2+ CEPILLO DESENREDANTE VIOLETA (0249), O2+ CEPILLO DESENREDANTE VIOLETA (0249) ,$1.240,1180.97,100
HIPO CLINICARE 10 x 10 cm CAJA x 20 unid., HIPOALERGIC CLINICARE 10 x 10 cm CAJA x  20 unid. ,$1.407,1340.09,92
BASTON CANADIENSE x unid. SILFAB B1005,,$4.005,,
BICARBONATO DE SODIO FUREY POTE x 100 gr, BICARBONATO DE SODIO FUREY POTE CON CUCHARA x 250 gr ,$229,425.0,95
BICARBONATO DE SODIO FUREY C/CUCHARA x250gr,,$378,,
CLORURO DE MAGNESIO TABLADA 33gr.CAJAx12 SOBRES,,$1.548,,
"HIPO VENDA FISIOPLAST (TENSOPLAST) 7,5cm x 4,5m",,$1.923,,
GLUCOSA PURA ORAL EN POLVO TABLADA x 75 grs., GLUCOSA PURA ORAL EN POLVO TABLADA x 75 grs. ,$363,345.26,100
OXIMETRO CORONET POD 2,,$4.063,,
OXIDO DE ZINC TABLADA SOBRE 10gr. x 25u, OXIDO DE ZINC TABLADA SOBRE 10gr. x 25u ,$3.604,3432.32,100
BORATO DE SODIO TABLADA SOBRE 20gr. x 25u, BORATO DE SODIO TABLADA SOBRE 20gr. x 25u ,$1.333,1269.4,100
ACIDO PICRICO DROGAL x 100 cc, ACIDO PICRICO DROGAL x 100 cc ,$375,450.0,100
SOLUCION TIMEROSAL DROGAL GOTERO x 60 cc, SOLUCION TIMEROSAL DROGAL GOTERO x  60 cc ,$483,533.0,100
"TELA AD. PRINTEX N.6 x 12 r 2,5cmx4,5m",,$2.247,,
AGUA DE ALIBOUR TABLADA x 100 cc, AGUA DE ALIBOUR TABLADA x 100 cc ,$131,124.87,100
CH LINIMENTO OLEO CALCAREO x 250 cc, CHAPOTEANDO LINIMENTO OLEO CALCAREO x 250 cc ,$328,312.52,96
VASELINA SOLIDA POTE DROGAL x kg, VASELINA SOLIDA POTE x kg DROGAL ,$2.623,2598.0,100
SOLUCION IODOPOVIDONA TABLADA x 100 cc, SOLUCION IODOPOVIDONA TABLADA x 100 cc ,$730,695.42,100
BICARBONATO DE SODIO DROGAL CAJA x 250 gr, BICARBONATO DE SODIO DROGAL CAJA x 250 gr ,$312,350.0,100
ALCOHOL BORICADO TABLADA x 100 cc, ALCOHOL IODADO TABLADA x 100 cc. ,$260,384.22,91
CLORURO DE MAGNESIO DROGAL POTE x 200 gr, CLORURO DE MAGNESIO DROGAL  POTE x 200 gr ,$416,396.0,100
SULFATIAZOL TALQUERA DROGAL x 4 grs, SULFATIAZOL TALQUERA DROGAL  x 4 grs ,$501,495.0,100
CLORURO DE MAGNESIO DROGAL POTE x 100 gr, CLORURO DE MAGNESIO DROGAL  POTE x 200 gr ,$270,396.0,98
AGUA OXIGENADA FUREY 10v GOTERO x 100 cc, AGUA OXIGENADA FUREY 10 VOLUMEN GOTERO x 100 cc ,$119,113.77,95
BICARBONATO DE SODIO SOBRE FUREY 20gr. x 25u, BICARBONATO DE SODIO SOBRE FUREY 20gr. x 25u ,$2.305,2194.94,100
ACIDO BORICO FUREY SOBRE DE 20gr. x 25u, ACIDO BORICO FUREY SOBRE DE 20gr. x 25UNIDADES ,$2.533,2412.1,94
BICARBONATO DE SODIO DROGAL CAJA x 100 gr, BICARBONATO DE SODIO DROGAL CAJA x 250 gr ,$185,350.0,95
LAPIZ NITRATO PLATA VERRUGOL x UNIDAD, LAPIZ NITRATO PLATA VERRUGOL x  UNIDAD ,$1.782,1697.0,100
DIADERMINA ROSADA FUREY x 120 gramos, DIADERMINA ROSADA FUREY x 120 gramos ,$466,443.63,100
SOLUCION FISIOLOGICA GOTERO FUREY 100cc, SOLUCION FISIOLOGICA GOTERO FUREY x 100 cc ,$133,126.78,96
VASELINA SOLIDA FUREY POTE x 30 grs, VASELINA SOLIDA FUREY POTE x  30 grs ,$239,228.0,100
VASELINA SOLIDA FUREY POTE x 60 grs, VASELINA SOLIDA SANADROG POTE x  60 grs ,$258,246.0,91
VASELINA MEDICINAL FUREY x 500 cc, VASELINA MEDICINAL  FUREY x  500 cc ,$981,934.0,100
VASELINA MEDICINAL FUREY x 250 cc, VASELINA MEDICINAL  FUREY x  500 cc ,$564,934.0,97
VASELINA MEDICINAL FUREY x 125 cc, VASELINA MEDICINAL  FUREY x  500 cc ,$312,934.0,94
LIMONADA ROGE DROGAL x 60g, LIMONADA ROGE DROGAL x 60g ,$404,387.0,100
GLICERINA TABLADA x 125 grs, GLICERINA TABLADA x  100 grs ,$373,355.19,93
AGUA OXIGENADA FUREY 10v x LITRO, AGUA OXIGENADA FUREY 10 VOLUMEN x LITRO ,$487,464.14,93
AGUA OXIGENADA FUREY 10v x 500 cc, AGUA OXIGENADA FUREY 10 VOLUMEN x 500 cc ,$355,337.81,94
AGUA OXIGENADA FUREY 10v x 250 cc, AGUA OXIGENADA FUREY 10 VOLUMEN x 250 cc ,$216,206.13,94
ACEITE VERDE TABLADA x 125 cc, ACEITE VERDE TABLADA x 125 cc ,$397,377.69,100
ACEITE DE RICINO TABLADA x 40 cc, ACEITE DE RICINO TABLADA  x 40 cc ,$329,313.53,100
Pembo - Algodón - 70 g,,$106,,
algabo gel ef. humedo pote 350,,$273,,
algabo gel ef. humedo 475,,$351,,
algabo gel ef. humedo pomo 150,,$202,,
algabo gel ef. humedo pomo 200,,$218,,
algabo gel ef. humedo gota 150,,$228,,
algabo quita c/ dosif. 120,,$319,,
TALCO PERFUMADO BOLSITA FLORAL 200G,,$135,,
TALCO PERFUMADO TALQUERA VIOLETS 250G,,$202,,
algabo hisopos 150 impo,,$299,,
algabo hisopos tubo 125 impo,,$267,,
algabo men crema p afeitar 150, ALGABO MEN CREMA DE AFEITAR x 150 gr ,$569,617.53,97
algabo men after shave 120, ALGABO LOCION MEN AFTER SHAVE x 120 ml. ,$429,465.26,100
algabo men talco 180,,$215,,
algabo men talco 120,,$169,,
algabo gel efecto firme 500,,$433,,
algabo gel ext brillo 500,,$433,,
algabo gel ef humedo 500,,$433,,
algabo gel ext fuerte pote 350,,$273,,
algabo gel ext brillo pote 350,,$273,,
algabo gel ext fuerte 475,,$351,,
algabo gel ext brillo 475,,$351,,
algabo gel ext fuerte pomo 150,,$202,,
algabo gel ext brillo pomo 150,,$202,,
algabo gel ext fuerte pomo 200,,$218,,
algabo gel ext brillo pomo 200,,$218,,
algabo gel ext fuerte 150,,$228,,
algabo gel ext brillo gota 150,,$228,,
algabo baño natural pomo 200,,$312,,
algabo baño natural argan 350,,$371,,
algabo barro vegetal pomo 200,,$312,,
algabo barro vegetal pote 350,,$371,,
algabo crema peinar argan 300,,$338,,
algabo crema peinar kerat 300,,$338,,
algabo crema peinar rizado 300,,$338,,
algabo hisopos zipper 125,,$216,,
algabo hisopos tubo 100,,$216,,
algabo enj bucal s/alcohol 500,,$351,,
algabo enj bucal s/alcohol 250,,$267,,
algabo enjuague bucal 250, ALGABO ENJUAGUE BUCAL ARTIC MENTHOL x 500 ml ,$267,380.67,91
algabo enjuague bucal 500, ALGABO ENJUAGUE BUCAL ARTIC MENTHOL x 500 ml ,$351,380.67,100
algabo agua micelar 200, ALGABO AGUA MICELAR x 200ml ,$402,435.66,92
algabo agua micelar dosif 120,,$358,,
algabo pompones de algodon 50, ALGABO POMPONES DE ALGODON x 50 u. ,$306,331.32,100
algabo discos desmaq 80,,$293,,
algabo crema aloe-manz 200,,$286,,
algabo crema miel-almendra 200,,$286,,
algabo crema avena-karite 200,,$286,,
algabo crema manos y uñas 90,,$234,,
algabo crema miel-almendra 400,,$424,,
algabo crema avena-karite 400,,$424,,
algabo crema aloe-manz 400,,$424,,
algabo ac 0% oliva y argan 750,,$359,,
algabo ac 0% açai y romero 750,,$359,,
algabo acond detox ep 930,,$260,,
algabo ac manz y magn ep 930,,$260,,
algabo aco coco y leche ep 930,,$260,,
algabo ac aguac y argan ep 930,,$260,,
algabo ac detox 930, ALGABO SHAMPOO REFRESCANTE DETOX x 930 ml ,$299,324.28,91
algabo ac manz y magnolia 930,,$299,,
algabo ac coco y leche 930, ALGABO SHAMPOO COCO Y LECHE SUAVIDAD x 930 ml ,$299,324.28,94
algabo ac aguacate y argan 930,,$299,,
algabo ac detox ep 300,,$140,,
algabo ac manz y magno ep 300,,$140,,
algabo ac coco y miel ep 300,,$140,,
algabo ac aguac y argan ep 300,,$140,,
algabo sh 0% oliva y argan 750,,$359,,
algabo sh 0% açai y romero 750,,$359,,
algabo sh detox ep 930,,$260,,
algabo sh manz y magno ep 930,,$260,,
algabo sh coco y miel ep 930,,$260,,
algabo sh aguac y argan ep 930,,$260,,
algabo sh detox 930, ALGABO SHAMPOO REFRESCANTE DETOX x 930 ml ,$299,324.28,91
algabo sh manz y magnolia 930,,$299,,
algabo sh coco y leche 930, ALGABO SHAMPOO COCO Y LECHE SUAVIDAD x 930 ml ,$299,324.28,94
algabo sh aguacate y argan 930,,$299,,
algabo sh detox ep 300,,$140,,
algabo sh manz y magno ep 300,,$140,,
algabo sh coco y leche ep 300,,$140,,
algabo sh aguac y argan ep 300,,$140,,
algabo quita xtreme prof 100,,$179,,
algabo quita c/ keratina 100,,$147,,
algabo quita humectante 100,,$147,,
algabo quita fortalecedor 100,,$147,,
algabo quita express 75,,$280,,
algabo quita c/keratina 50,,$98,,
algabo quita humectante 50,,$98,,
algabo quita fortalecedor 50,,$98,,
ultra sanitizante gel 250,,$247,,
ultra sanitiz gel pocket 60,,$241,,
ultra sanitizante gel ep 1000,,$514,,
algabo gel ducha kar-agu 350,,$273,,
algabo gel ducha coco-miel 350,,$273,,
algabo jab liq kar-agu 221,,$215,,
